station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
92797923,43.656869,-71.77347652,310,349,277,269,182,270,0.956386293,0.651851852,0.977351916,0.697674419,1.023569024,1.473282443,0.005135659,1
92797923,43.65927691,-71.77588889,312,378,270.5,263,179,269.5,0.963051572,0.655953751,0.977874592,0.685060112,1.017352796,1.486649579,0.005130302,1
92797923,43.6616001,-71.74502745,315,364,260,259,173.5,296,0.978604088,0.659879358,1.154396186,0.672023258,1.166088675,1.822392651,0.00626834,1
92797923,43.6731358,-71.78585944,320,388,264,265,173.5,292.5,0.974885321,0.656576883,1.10763807,0.69494689,1.11566193,1.677754013,0.005818378,1
92797923,43.68783299,-71.7798352,328,381,270,259,176,295,0.982404692,0.66122449,1.084656085,0.671232877,1.112676056,1.694214876,0.005974735,1
92797923,43.6895765,-71.78998857,331,388,286,296,200,332,1.013549405,0.692480759,1.161752137,0.690190018,1.147465786,1.683749909,0.005493558,1
92798357,43.46679981,-71.68269368,179,368,265,290,205,320.5,1.069071755,0.745421953,1.171830473,0.693064182,1.125097807,1.619034448,0.005595159,1
103455558,45.52414432,-68.8065958,1198,233,224,235,166,277,1.024509804,0.746268657,1.263565891,0.707112971,1.205298013,1.6918429,0.007400518,5
103455720,45.56858372,-69.1357265,1204,303,262,276,209,313,1.051813472,0.81547619,1.203327172,0.781954887,1.143356643,1.436213992,0.005467033,4
103455876,45.47228497,-68.81908128,1184,244,214.5,221.5,154.5,269.5,1.008311844,0.747994652,1.243433302,0.723150835,1.233909214,1.688170936,0.007410645,5
103456396,45.46330434,-68.88312735,1182,337,228,228,175,262,0.992277992,0.766666667,1.155688623,0.768361582,1.157377049,1.51754386,0.006276064,4
103456764,45.47348001,-69.52520669,1185,506,228.5,225,153.5,258,0.983737262,0.670235002,1.103192935,0.693444532,1.132805248,1.617497529,0.006694741,1
