system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,dissPermID,img_qual,included_RF,lat,loc_rowid,lon,nd_median,pixel_qa_median,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_LT05_012029_19840518_0000000000000000031c,259.0,16,302.0,267.0,353.0,183.0,2781.0,124.0,5.0,0,1984-05-18,106571465,7.0,y,45.165712855530046,1086,-70.11131984713602,-0.2505854800936768,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000324,305.0,15,361.0,352.0,420.0,230.0,2811.0,190.0,5.0,0,1984-05-18,103458452,7.0,y,45.204979699406685,1099,-69.5233472413297,-0.26517571884984026,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000330,232.0,16,269.0,237.0,319.0,112.0,2797.0,90.0,5.0,0,1984-05-18,106571309,7.0,y,45.23607747015342,1113,-70.26573851661685,-0.4120734908136483,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000333,245.0,15,268.0,267.0,319.0,112.0,2786.0,90.0,5.0,0,1984-05-18,152429695,7.0,y,45.24938788679797,1116,-70.07973157527341,-0.4105263157894737,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
1_LT05_012029_19840518_00000000000000000336,270.0,16,306.0,268.0,319.0,136.0,2771.0,90.0,5.0,0,1984-05-18,152429632,7.0,y,45.253878201558784,1119,-69.92360507008911,-0.38461538461538464,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000337,269.0,16,306.0,268.0,319.0,136.0,2776.0,55.0,5.0,0,1984-05-18,152429632,7.0,y,45.254466802897845,1120,-69.92649010847069,-0.429769392033543,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_0000000000000000033a,295.0,16,338.0,328.0,388.0,183.0,2797.0,124.0,5.0,0,1984-05-18,103458374,7.0,y,45.258912526648125,1124,-69.72695871363214,-0.29750479846449135,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
1_LT05_012029_19840518_0000000000000000033c,275.0,18,302.0,297.0,353.0,183.0,2786.0,124.0,5.0,0,1984-05-18,152429695,7.0,y,45.2638086196048,1126,-70.07363598413335,-0.2947976878612717,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_0000000000000000034e,352.0,13,404.0,387.0,492.0,255.0,2811.0,226.0,5.0,0,1984-05-18,150570154,7.0,y,45.32447914853798,1149,-69.84574916569595,-0.22610015174506828,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000353,297.0,14,313.0,274.0,357.0,161.0,2797.0,124.0,5.0,0,1984-05-18,106571295,7.0,y,45.3366703308181,1156,-70.66748568512811,-0.3206751054852321,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
1_LT05_012029_19840518_00000000000000000355,297.0,16,313.0,274.0,322.0,136.0,2807.0,90.0,5.0,0,1984-05-18,106571295,7.0,y,45.342730249149746,1158,-70.67539167129587,-0.39420935412026725,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
1_LT05_012029_19840518_0000000000000000035a,249.0,15,278.0,243.0,288.0,136.0,2816.0,56.0,5.0,0,1984-05-18,106571295,7.0,y,45.3565846761228,1165,-70.70402355916005,-0.34299516908212563,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000177,298.0,15,323.0,290.0,418.0,158.0,2821.0,90.0,5.0,0,1984-05-18,106456205,7.0,y,44.03390382614442,508,-70.4790039427,-0.34303534303534305,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
1_LT05_012029_19840518_0000000000000000017c,345.0,13,427.0,380.0,487.0,206.0,2816.0,190.0,5.0,0,1984-05-18,106456205,7.0,y,44.054388936383944,518,-70.47845101416938,-0.34913112164297,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000185,311.0,15,357.0,319.0,417.0,206.0,2811.0,123.0,5.0,0,1984-05-18,106456205,7.0,y,44.08828702259224,533,-70.4922608501319,-0.3098827470686767,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_000000000000000002c9,294.0,16,310.0,271.0,356.0,160.0,2781.0,90.0,5.0,0,1984-05-18,118181284,7.0,y,44.93783495529474,976,-70.63977683118199,-0.3191489361702128,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,36.0,
